user_id,pattern,event_ts
4613,account_takeover,2025-05-30 01:15:03.169554
3591,account_takeover,2025-07-17 14:44:39.967689
4619,account_takeover,2025-03-21 21:05:58.361709
4620,account_takeover,2025-08-16 12:17:35.130782
12,account_takeover,2025-03-26 22:05:51.255050
2069,account_takeover,2025-06-27 22:18:23.006930
22,account_takeover,2025-05-29 07:40:33.721173
4639,account_takeover,2025-04-20 10:06:27.147791
1079,account_takeover,2025-03-27 06:04:26.560783
56,account_takeover,2025-06-05 18:43:19.705929
1081,account_takeover,2025-04-22 09:32:23.664041
1592,account_takeover,2025-04-08 06:00:02.710653
3131,account_takeover,2025-02-01 06:04:12.675562
1596,account_takeover,2025-03-01 01:30:41.845554
4670,account_takeover,2025-07-26 09:36:45.478029
1601,account_takeover,2025-03-04 14:47:22.836908
1608,account_takeover,2025-07-19 07:48:59.781106
585,account_takeover,2025-07-27 12:43:15.476896
3658,account_takeover,2025-03-22 03:18:30.294478
594,account_takeover,2025-07-31 23:03:02.407320
3668,account_takeover,2025-06-25 23:00:14.291291
4692,account_takeover,2025-05-16 08:27:58.631858
4182,account_takeover,2025-08-27 04:57:28.236974
2142,account_takeover,2025-08-19 03:50:16.822774
2659,account_takeover,2025-02-16 14:19:56.324351
2660,account_takeover,2025-05-13 17:22:43.409288
1637,account_takeover,2025-08-04 07:02:36.753596
1126,account_takeover,2025-08-31 16:35:24.087472
4717,account_takeover,2025-04-22 09:03:01.135799
4214,account_takeover,2025-02-01 21:07:40.224372
2684,account_takeover,2025-01-31 04:29:32.102873
2176,account_takeover,2025-06-25 13:21:23.476766
4742,account_takeover,2025-05-09 03:43:50.732714
4232,account_takeover,2025-05-17 22:07:32.064137
1161,account_takeover,2025-08-20 06:59:04.445576
138,account_takeover,2025-05-01 21:38:56.565625
2709,account_takeover,2025-05-23 04:26:30.287992
2713,account_takeover,2025-03-21 17:34:06.190326
1181,account_takeover,2025-07-03 00:25:13.204245
1185,account_takeover,2025-02-15 15:21:38.164927
1698,account_takeover,2025-08-11 11:33:57.011759
3236,account_takeover,2025-06-06 12:26:15.949823
2218,account_takeover,2025-04-19 12:57:15.651204
4784,account_takeover,2025-02-14 19:12:52.515465
2740,account_takeover,2025-01-31 23:20:37.676178
3765,account_takeover,2025-08-27 01:30:18.428974
1211,account_takeover,2025-06-13 18:02:15.171624
709,account_takeover,2025-02-19 06:07:14.768976
2761,account_takeover,2025-03-09 22:19:17.657328
3281,account_takeover,2025-08-04 00:16:06.512063
3292,velocity_abuse,2025-05-31 06:34:45.187125
4319,velocity_abuse,2025-05-04 00:11:48.761786
228,velocity_abuse,2025-02-15 18:51:43.668824
4324,velocity_abuse,2025-07-05 11:05:58.348952
4326,velocity_abuse,2025-08-02 12:22:42.426488
4842,velocity_abuse,2025-03-11 03:41:40.691268
746,velocity_abuse,2025-04-08 21:21:50.635563
752,velocity_abuse,2025-05-20 21:13:37.332593
1265,velocity_abuse,2025-04-10 19:08:41.392021
764,velocity_abuse,2025-05-09 06:56:44.039776
1279,velocity_abuse,2025-02-25 03:32:13.648804
258,velocity_abuse,2025-05-16 06:34:56.790438
2819,velocity_abuse,2025-02-02 03:40:48.201677
3338,velocity_abuse,2025-05-07 12:40:41.137739
3341,velocity_abuse,2025-06-10 20:35:33.260523
3348,velocity_abuse,2025-03-20 15:19:09.484838
2330,velocity_abuse,2025-04-01 11:26:30.180733
1824,velocity_abuse,2025-03-27 20:56:21.048613
2337,velocity_abuse,2025-05-01 18:22:06.585471
806,velocity_abuse,2025-06-16 08:33:43.073111
4903,velocity_abuse,2025-06-01 00:16:17.898326
2860,velocity_abuse,2025-05-14 17:51:11.014558
2360,velocity_abuse,2025-03-08 16:25:34.972130
2361,velocity_abuse,2025-02-26 18:53:08.023214
