user_id,txn_count,avg_amount,stddev_amount,signal_ato,signal_velocity,signal_amount_anomaly,rule_based_flag
1,17,424.4894117647059,289.45653511914946,0,0,0,0
2,13,482.5615384615385,273.34758362670084,0,0,0,0
3,18,396.08444444444444,206.79639686905733,0,0,0,0
4,19,341.25894736842105,182.6864455518407,0,0,0,0
5,20,465.7655,284.5720290625029,0,0,0,0
6,25,526.1932,332.5581288944234,0,0,0,0
7,19,362.64473684210526,295.9203779534093,0,0,0,0
8,18,402.4766666666667,241.21887209659934,0,0,0,0
9,17,330.4370588235294,200.1284279352138,0,0,0,0
10,21,365.8452380952381,263.0250320265399,0,0,0,0
11,16,395.48625,219.81556379368934,0,0,0,0
12,27,709.562962962963,1376.973887583754,1,0,0,1
13,14,360.49642857142857,188.34049104166726,0,0,0,0
14,22,387.11136363636365,221.02039351186693,0,0,0,0
15,25,368.01599999999996,269.11488505840776,0,0,0,0
16,25,434.3372,309.41683905721743,0,0,0,0
17,19,392.63684210526316,277.99151363519286,0,0,0,0
18,17,404.21294117647057,242.92322139175891,0,0,0,0
19,11,437.53818181818184,222.55184874206822,0,0,0,0
20,20,394.996,308.4711817074652,0,0,0,0
21,28,419.06857142857143,237.6172790691891,0,0,0,0
22,23,424.89565217391305,524.1119398009989,1,0,0,1
23,16,435.32937499999997,216.88645734775466,0,0,0,0
24,20,414.89,267.7044775120507,0,0,0,0
25,29,443.53724137931033,308.6837709382628,0,0,0,0
26,17,343.45529411764704,185.49481978235934,0,0,0,0
27,23,470.75347826086954,229.10661779690375,0,0,0,0
28,16,492.723125,307.28524709784614,0,0,0,0
29,20,471.7335,248.35862647137904,0,0,0,0
30,19,410.5605263157895,223.18788104888534,0,0,0,0
31,24,415.33458333333334,249.4815351213253,0,0,0,0
32,15,339.03066666666666,150.1798524643776,0,0,0,0
33,23,337.9391304347826,159.37513621240325,0,0,0,0
34,24,444.8320833333333,257.2940266501079,0,0,0,0
35,15,336.024,185.6442525118046,0,0,0,0
36,29,404.3355172413793,268.47361380122834,0,0,0,0
37,16,403.745,218.99651312863415,0,0,0,0
38,13,450.2876923076923,286.6005839318182,0,0,0,0
39,25,312.35920000000004,151.16277284887298,0,0,0,0
40,20,310.8805,192.91754838466616,0,0,0,0
41,14,367.6321428571428,247.30085321840494,0,0,0,0
42,21,431.51095238095235,299.19103255444963,0,0,0,0
43,13,428.79307692307697,288.7126464519726,0,0,0,0
44,14,427.2057142857143,230.42876673448447,0,0,0,0
45,11,409.4445454545455,158.65463786382804,0,0,0,0
46,15,338.122,219.1906828068504,0,0,0,0
47,16,419.959375,240.8226934507198,0,0,0,0
48,11,515.7836363636363,248.10811628924014,0,0,0,0
49,18,292.0755555555555,165.1331891138592,0,0,0,0
50,19,509.4410526315789,274.23900344301563,0,0,0,0
51,16,258.348125,191.67161107016966,0,0,0,0
52,18,399.28666666666663,213.35147644204395,0,0,0,0
53,21,458.7338095238095,214.63890404198557,0,0,0,0
54,15,424.8546666666667,240.42304287419893,0,0,0,0
55,26,397.9115384615385,360.7382584868074,0,0,0,0
56,13,925.8661538461539,2054.5589471242442,1,0,0,1
57,20,279.673,153.21041113775524,0,0,0,0
58,17,533.6052941176471,302.64660702304354,0,0,0,0
59,19,436.0836842105263,172.63708777635318,0,0,0,0
60,13,418.0623076923076,175.57451208724635,0,0,0,0
61,11,395.0263636363636,194.1967240278284,0,0,0,0
62,23,502.4408695652174,329.6664831628823,0,0,0,0
63,24,381.08166666666665,185.49767639305418,0,0,0,0
64,16,379.67625,198.45732311617405,0,0,0,0
65,18,401.3372222222222,266.0757194610745,0,0,0,0
66,19,385.86315789473684,213.54777264245584,0,0,0,0
67,14,400.2478571428572,296.6164808102633,0,0,0,0
68,22,466.67272727272723,316.98200957240783,0,0,0,0
69,26,426.5976923076923,309.63740175228406,0,0,0,0
70,21,470.7195238095238,313.6401755192935,0,0,0,0
71,18,407.62888888888887,187.59562876596766,0,0,0,0
72,13,419.08769230769235,300.38743431554275,0,0,0,0
73,15,346.312,196.2465391355136,0,0,0,0
74,18,283.3361111111111,154.93895077807218,0,0,0,0
75,25,364.31919999999997,275.3403529876433,0,0,0,0
76,16,438.7075,279.5409442841067,0,0,0,0
77,21,396.0790476190476,142.2501591899607,0,0,0,0
78,19,342.86842105263156,156.13739163290762,0,0,0,0
79,18,325.7966666666667,217.18410628363716,0,0,0,0
80,19,497.93842105263155,287.1359520334201,0,0,0,0
81,17,368.1929411764706,213.49124728620632,0,0,0,0
82,26,367.95846153846156,260.5135489860852,0,0,0,0
83,17,267.1705882352941,151.11785075662326,0,0,0,0
84,13,263.0569230769231,198.7821214443521,0,0,0,0
85,22,344.9318181818182,151.64574122954406,0,0,0,0
86,16,441.658125,255.8204523249351,0,0,0,0
87,22,405.14090909090913,243.67143705312935,0,0,0,0
88,16,393.996875,257.7788179990443,0,0,0,0
89,18,375.5783333333333,182.46390496174544,0,0,0,0
90,24,413.8279166666666,236.2432376806295,0,0,0,0
91,16,493.991875,389.88261336296387,0,0,0,0
92,21,443.0914285714286,166.72562985438114,0,0,0,0
93,19,478.4094736842106,400.0528004292707,0,0,0,0
94,24,364.3254166666666,243.02864267028224,0,0,0,0
95,20,463.96549999999996,223.1266983459175,0,0,0,0
96,15,340.99666666666667,217.76566122529258,0,0,0,0
97,15,389.9413333333333,240.79515584459386,0,0,0,0
98,17,377.8105882352941,204.34130426584275,0,0,0,0
99,15,558.1,260.98052095894053,0,0,0,0
100,15,300.2066666666667,154.43391266888955,0,0,0,0
101,20,378.45950000000005,300.2199146871339,0,0,0,0
102,16,396.898125,213.18553058951812,0,0,0,0
103,17,324.944705882353,217.01434780752447,0,0,0,0
104,20,371.4375,176.07690276907414,0,0,0,0
105,19,287.8257894736842,252.2147938879789,0,0,0,0
106,20,408.0235,271.04641883402553,0,0,0,0
107,20,373.5815,222.7264511968662,0,0,0,0
108,13,335.1376923076923,171.43006392623047,0,0,0,0
109,20,451.61350000000004,284.6319193497981,0,0,0,0
110,17,343.4164705882353,201.5836772086346,0,0,0,0
111,21,265.2861904761905,211.8058775540469,0,0,0,0
112,20,311.693,156.15150569559046,0,0,0,0
113,19,354.2321052631579,228.88623194616844,0,0,0,0
114,15,479.91200000000003,276.7232713066732,0,0,0,0
115,16,312.6225,229.73530718796795,0,0,0,0
